City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,Chokurdakh,RU,2022-04-21 15:40:12,70.6333,147.9167,-6.79,100,93,1.99
69,Upernavik,GL,2022-04-21 15:40:13,72.7868,-56.1549,10.83,67,100,10.18
70,Pangody,RU,2022-04-21 15:40:14,65.85,74.4859,8.73,96,99,11.45
71,Menongue,AO,2022-04-21 15:40:14,-14.6585,17.691,69.6,59,87,3.13
72,Kavieng,PG,2022-04-21 15:40:15,-2.5744,150.7967,82.71,74,36,14.52
73,Tuatapere,NZ,2022-04-21 15:40:15,-46.1333,167.6833,47.86,91,100,15.48
74,Peace River,CA,2022-04-21 15:40:16,56.2501,-117.286,36.66,80,75,3.44
75,Avarua,CK,2022-04-21 15:36:53,-21.2078,-159.775,77.05,65,75,9.22
76,Hofn,IS,2022-04-21 15:40:17,64.2539,-15.2082,55.42,54,20,8.05
77,Tommot,RU,2022-04-21 15:40:17,58.9564,126.2925,19.74,94,100,2.42
78,Lata,PT,2022-04-21 15:40:18,40.1629,-8.3327,61.07,59,100,11.21
79,Saint Anthony,US,2022-04-21 15:40:19,45.0205,-93.218,46.92,68,75,16.11
80,Darhan,MN,2022-04-21 15:40:19,49.4867,105.9228,38.53,44,48,5.93
81,Ribeira Grande,PT,2022-04-21 15:40:19,38.5167,-28.7,63.0,55,20,13.8
82,Lincoln,US,2022-04-21 15:40:20,40.8,-96.667,60.15,75,56,4.0
83,Rawson,AR,2022-04-21 15:40:20,-43.3002,-65.1023,60.55,41,100,14.79
84,Yellowknife,CA,2022-04-21 15:35:46,62.456,-114.3525,19.92,53,20,4.61
85,Acapulco,MX,2022-04-21 15:36:46,16.8634,-99.8901,82.22,51,0,2.3
86,Wichita Falls,US,2022-04-21 15:35:45,33.9137,-98.4934,81.25,62,0,24.16
87,Price,US,2022-04-21 15:40:22,39.5994,-110.8107,56.12,30,0,3.44
88,Gubkinskiy,RU,2022-04-21 15:40:22,64.434,76.5026,2.14,97,92,7.11
89,Codrington,AU,2022-04-21 15:40:23,-38.2667,141.9667,56.93,50,100,11.32
90,Korla,CN,2022-04-21 15:40:23,41.7597,86.1469,68.65,31,100,7.81
91,Durban,ZA,2022-04-21 15:38:31,-29.8579,31.0292,74.32,87,4,1.99
92,Nambucca Heads,AU,2022-04-21 15:41:25,-30.65,153.0,65.17,91,46,7.74
93,Arraial Do Cabo,BR,2022-04-21 15:41:25,-22.9661,-42.0278,80.56,65,20,5.75
94,Yelniki,RU,2022-04-21 15:41:25,54.6207,43.876,41.56,94,100,7.54
95,Madera,US,2022-04-21 15:41:26,37.1666,-119.8343,57.24,79,86,5.84
96,Golden,US,2022-04-21 15:41:26,39.7555,-105.2211,64.26,37,40,4.0
97,Cherskiy,RU,2022-04-21 15:41:27,68.75,161.3,13.87,98,100,3.6
98,Klaksvik,FO,2022-04-21 15:41:30,62.2266,-6.589,52.72,94,39,14.32
99,Saint-Philippe,RE,2022-04-21 15:41:30,-21.3585,55.7679,78.39,88,51,9.51
100,Bredasdorp,ZA,2022-04-21 15:41:31,-34.5322,20.0403,63.86,71,1,8.37
101,Xuddur,SO,2022-04-21 15:41:31,4.1213,43.8894,89.89,33,76,4.21
102,Ussel,FR,2022-04-21 15:41:32,45.55,2.3167,52.18,91,100,2.77
103,East London,ZA,2022-04-21 15:41:32,-33.0153,27.9116,79.74,73,0,3.44
104,Tuktoyaktuk,CA,2022-04-21 15:41:33,69.4541,-133.0374,-7.6,77,40,0.0
105,Den Helder,NL,2022-04-21 15:37:41,52.9599,4.7593,60.98,64,100,25.01
106,Nogliki,RU,2022-04-21 15:41:34,51.8333,143.1667,29.7,97,100,9.31
107,San Quintin,MX,2022-04-21 15:38:55,30.4833,-115.95,61.81,72,1,15.52
108,Hualmay,PE,2022-04-21 15:41:35,-11.0964,-77.6139,72.27,74,100,10.22
109,Ponta Do Sol,PT,2022-04-21 15:41:36,32.6667,-17.1,65.12,61,77,8.79
110,Vestmannaeyjar,IS,2022-04-21 15:41:36,63.4427,-20.2734,49.19,87,75,26.46
111,Saint-Georges,GD,2022-04-21 15:40:55,12.0564,-61.7485,83.88,70,40,20.71
112,Ballarat,AU,2022-04-21 15:41:37,-37.5662,143.8496,46.89,74,26,7.83
113,Mataura,NZ,2022-04-21 15:41:38,-46.1927,168.8643,47.48,98,100,5.7
114,Waipawa,NZ,2022-04-21 15:41:38,-41.4122,175.5153,60.62,90,99,7.72
115,Podor,MR,2022-04-21 15:41:39,16.6527,-14.9587,103.95,18,0,2.3
116,Komsomolets,KZ,2022-04-21 15:41:39,53.7453,62.0708,39.72,61,53,16.89
117,Vytegra,RU,2022-04-21 15:41:40,61.0064,36.4481,41.88,89,8,3.22
118,Hami,CN,2022-04-21 15:41:40,42.8,93.45,63.99,15,76,13.62
119,Abonnema,NG,2022-04-21 15:41:41,4.7084,6.7931,86.61,66,100,9.66
120,Laurel,US,2022-04-21 15:41:41,39.0993,-76.8483,63.63,53,0,12.66
121,Chaman,PK,2022-04-21 15:41:42,30.9236,66.4512,71.33,16,45,4.29
122,Kenai,US,2022-04-21 15:41:42,60.5544,-151.2583,30.15,86,0,4.61
123,Kahului,US,2022-04-21 15:37:07,20.8947,-156.47,73.85,81,20,17.0
124,Severo-Kurilsk,RU,2022-04-21 15:41:43,50.6789,156.125,35.24,93,71,13.02
125,Arman,RU,2022-04-21 15:41:44,59.7,150.1667,14.02,89,76,5.14
126,Sistranda,NO,2022-04-21 15:41:44,63.7256,8.834,55.36,82,5,21.16
127,Poum,NC,2022-04-21 15:41:45,-20.2333,164.0167,76.69,74,56,12.08
128,Buy,RU,2022-04-21 15:41:45,58.4786,41.53,44.46,71,4,6.38
129,Yunyang,CN,2022-04-21 15:41:46,33.4474,112.7142,63.99,87,1,6.67
130,Mago,RU,2022-04-21 15:41:47,53.2514,140.1822,28.29,93,100,2.73
131,Vardo,NO,2022-04-21 15:40:15,70.3705,31.1107,37.38,87,75,9.22
132,Manado,ID,2022-04-21 15:41:48,1.487,124.8455,77.77,94,40,1.14
133,Touros,BR,2022-04-21 15:41:48,-5.1989,-35.4608,86.74,63,78,14.32
134,Dunedin,NZ,2022-04-21 15:41:49,-45.8742,170.5036,53.8,82,100,18.99
135,Karpathos,GR,2022-04-21 15:41:49,35.507,27.2132,64.36,63,0,12.66
136,Banda Aceh,ID,2022-04-21 15:41:50,5.5577,95.3222,82.04,76,97,3.18
137,Puerto Ayora,EC,2022-04-21 15:41:50,-0.7393,-90.3518,75.16,82,44,8.16
138,Kalashnikovo,RU,2022-04-21 15:42:51,57.2824,35.2262,43.77,83,98,8.84
139,Bilma,NE,2022-04-21 15:42:51,18.6853,12.9164,101.25,7,5,3.65
140,Lompoc,US,2022-04-21 15:42:52,34.6391,-120.4579,60.58,76,100,13.8
141,Qaanaaq,GL,2022-04-21 15:42:52,77.484,-69.3632,-3.35,78,0,0.67
142,Kodiak,US,2022-04-21 15:42:52,57.79,-152.4072,33.31,80,0,0.0
143,Sandakan,MY,2022-04-21 15:42:53,5.8402,118.1179,78.48,94,40,1.14
144,Okhotsk,RU,2022-04-21 15:42:53,59.3833,143.3,19.22,97,57,0.74
145,Port-Gentil,GA,2022-04-21 15:41:40,-0.7193,8.7815,82.63,77,71,8.34
146,El Tigre,VE,2022-04-21 15:42:54,8.8875,-64.2454,90.28,39,65,7.11
147,Lasa,IT,2022-04-21 15:42:54,46.6166,10.7002,54.7,88,100,3.71
148,Tiznit,MA,2022-04-21 15:42:55,29.5833,-9.5,62.22,49,0,13.35
149,Faanui,PF,2022-04-21 15:42:55,-16.4833,-151.75,79.81,74,92,7.67
150,Muroto,JP,2022-04-21 15:42:56,33.2833,134.15,63.64,85,82,8.25
151,Ketchikan,US,2022-04-21 15:42:58,55.3422,-131.6461,40.98,81,0,6.91
152,Chimbote,PE,2022-04-21 15:41:55,-9.0853,-78.5783,72.46,73,95,9.22
153,Khandyga,RU,2022-04-21 15:42:58,62.6667,135.6,12.78,97,94,1.39
154,Cidreira,BR,2022-04-21 15:38:23,-30.1811,-50.2056,74.1,59,31,3.27
155,Port Lincoln,AU,2022-04-21 15:42:59,-34.7333,135.8667,60.4,71,95,14.85
156,Suntar,RU,2022-04-21 15:42:59,62.1444,117.6319,24.44,98,99,2.17
157,Hwange,ZW,2022-04-21 15:43:00,-18.3693,26.5019,64.29,88,72,3.18
158,Stykkisholmur,IS,2022-04-21 15:43:00,65.0757,-22.7297,48.15,78,80,1.43
159,Sao Joao Da Barra,BR,2022-04-21 15:43:01,-21.6403,-41.0511,84.29,67,15,5.35
160,Ponta Delgada,PT,2022-04-21 15:43:01,37.7333,-25.6667,61.52,59,20,14.97
161,Namibe,AO,2022-04-21 15:43:01,-15.1961,12.1522,75.27,78,99,15.93
162,Bambous Virieux,MU,2022-04-21 15:43:02,-20.3428,57.7575,79.21,83,75,9.22
163,Lavrentiya,RU,2022-04-21 15:43:03,65.5833,-171.0,13.32,90,13,6.06
164,Broken Hill,AU,2022-04-21 15:43:03,-31.95,141.4333,53.31,76,20,10.36
165,Saskylakh,RU,2022-04-21 15:43:04,71.9167,114.0833,6.39,98,100,4.61
166,Donskoye,RU,2022-04-21 15:43:05,45.4552,41.9741,59.13,73,100,6.2
167,Victoria,HK,2022-04-21 15:41:50,22.2855,114.1577,76.32,85,56,5.99
168,Bay-Khaak,RU,2022-04-21 15:43:06,51.1667,94.5,43.54,48,100,7.92
169,Imbituba,BR,2022-04-21 15:43:06,-28.24,-48.6703,73.85,60,13,7.9
170,Oranjestad,AW,2022-04-21 15:43:07,12.524,-70.027,80.55,83,75,19.57
171,Hasaki,JP,2022-04-21 15:43:08,35.7333,140.8333,63.0,96,100,21.9
172,Kavaratti,IN,2022-04-21 15:43:09,10.5669,72.642,85.5,74,50,9.48
