City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Gualeguay,AR,-33.1416,-59.3097,73.98,82,89,10.09,overcast clouds
79,Paamiut,GL,61.994,-49.6678,31.39,89,95,15.97,overcast clouds
80,Bilibino,RU,68.0546,166.4372,9.73,90,100,4.47,overcast clouds
81,Rensvik,NO,63.1,7.8167,43.07,70,75,5.75,broken clouds
82,Qobustan,AZ,40.0824,49.412,59.09,71,74,2.66,broken clouds
83,Ponta Do Sol,PT,32.6667,-17.1,69.12,79,57,10.29,broken clouds
84,Santa Cruz,BO,-17.8,-63.1667,87.85,62,75,25.32,broken clouds
85,Mogadishu,SO,2.0371,45.3438,83.35,70,24,14.54,few clouds
86,Tommot,RU,58.9564,126.2925,26.2,97,100,0.11,light snow
87,Kyren,RU,51.6828,102.1408,19.69,74,47,3.24,scattered clouds
88,Walvis Bay,NA,-22.9575,14.5053,68.95,52,0,6.91,clear sky
89,San Cristobal,VE,7.7669,-72.225,73.58,50,100,6.71,overcast clouds
90,Nara,JP,34.6851,135.8049,66.49,70,100,2.51,overcast clouds
91,Bredasdorp,ZA,-34.5322,20.0403,57.2,68,12,5.08,few clouds
92,Atikokan,CA,48.7555,-91.6216,26.1,77,100,11.12,overcast clouds
93,Vaini,TO,-21.2,-175.2,71.76,94,100,18.41,light rain
94,Geraldton,AU,-28.7667,114.6,70.21,73,100,18.41,overcast clouds
95,Klaksvik,FO,62.2266,-6.589,41.92,85,90,18.97,overcast clouds
96,Blagoyevo,RU,63.3667,47.9167,34.92,88,98,3.8,overcast clouds
97,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,66,4,12.5,clear sky
98,Souillac,MU,-20.5167,57.5167,75.58,73,40,11.5,scattered clouds
99,Katsuura,JP,35.1333,140.3,66.63,92,98,2.84,overcast clouds
100,Yellowknife,CA,62.456,-114.3525,34.32,60,75,12.66,broken clouds
101,Port Macquarie,AU,-31.4333,152.9167,58.89,80,100,1.03,overcast clouds
102,Koosa,EE,58.5255,27.0795,44.74,95,100,5.79,overcast clouds
103,Beringovskiy,RU,63.05,179.3167,26.02,96,100,19.64,snow
104,Billings,US,45.7833,-108.5007,55.29,54,0,11.5,clear sky
105,Ostrovnoy,RU,68.0531,39.5131,34.23,98,100,3.15,overcast clouds
106,Evensk,RU,61.95,159.2333,28.58,78,100,18.86,overcast clouds
107,Taltal,CL,-25.4,-70.4833,66.67,76,20,6.67,few clouds
108,Bolotnoye,RU,55.6717,84.3981,35.89,75,25,6.98,scattered clouds
109,Mezen,RU,65.8522,44.24,34.12,93,100,5.53,overcast clouds
110,Zhigansk,RU,66.7697,123.3711,2.84,95,56,2.55,broken clouds
111,Hofn,IS,64.2539,-15.2082,41.02,87,100,13.8,overcast clouds
112,Dikson,RU,73.5069,80.5464,4.35,100,97,5.5,overcast clouds
113,Cuencame,MX,24.8711,-103.6964,79.79,17,0,7.94,clear sky
114,Port Blair,IN,11.6667,92.75,82.44,83,20,2.3,mist
115,Kashi,CN,39.4547,75.9797,69.01,11,70,13.42,broken clouds
116,Ahipara,NZ,-35.1667,173.1667,61.2,84,46,6.93,scattered clouds
117,Imbituba,BR,-28.24,-48.6703,77.86,54,11,16.87,few clouds
118,Kholm-Zhirkovskiy,RU,55.5189,33.4731,45.82,95,99,4.12,overcast clouds
119,Merke,KZ,42.8728,73.1786,53.31,68,49,1.23,scattered clouds
120,Kavaratti,IN,10.5669,72.642,85.28,72,28,5.95,scattered clouds
121,Jamestown,US,42.097,-79.2353,78.06,37,75,12.66,broken clouds
122,Avarua,CK,-21.2078,-159.775,69.85,100,85,2.3,overcast clouds
123,Namatanai,PG,-3.6667,152.4333,78.64,80,100,4.09,light rain
124,Indianola,US,41.3581,-93.5574,43.29,52,57,18.88,broken clouds
125,Sangar,RU,63.9242,127.4739,3.79,98,80,3.74,broken clouds
126,Ercis,TR,39.0287,43.3586,53.85,69,79,2.84,broken clouds
127,Wawa,NG,9.9022,4.4192,98.04,26,40,3.42,scattered clouds
128,Ambulu,ID,-8.345,113.6058,76.12,91,47,3.2,scattered clouds
129,Vila Velha,BR,-20.3297,-40.2925,84.15,68,75,13.8,broken clouds
130,Kavieng,PG,-2.5744,150.7967,81.81,73,22,8.32,few clouds
131,Coahuayana,MX,18.7333,-103.6833,87.39,34,5,6.42,clear sky
132,Khatanga,RU,71.9667,102.5,-7.85,100,21,2.46,few clouds
133,Darnah,LY,32.767,22.6367,64.94,64,78,3.49,broken clouds
134,Kemijarvi,FI,66.7131,27.4306,35.53,99,100,3.6,overcast clouds
135,Tupik,RU,54.4253,119.9327,28.92,67,100,4.5,overcast clouds
136,Airai,TL,-8.9266,125.4092,58.08,78,100,0.96,overcast clouds
